index,Job Title,job_title_sim,Company Name,Location City,Location State,Size,Type of ownership,Industry,Sector,Lower Salary,Upper Salary,Avg Salary(K),Python,spark,aws,excel,sql,sas,keras,pytorch,scikit,tensor,hadoop,tableau,bi,flink,mongo,google_an,Salary Estimate,Rating
1,Data Scientist,Data Scientist,Tecolote Research,Albuquerque, NM,501 - 1000,Company - Private,Aerospace & Defense,Aerospace & Defense,53,91,72,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,$53K-$91K (Glassdoor est.),3.8
2,Healthcare Data Scientist,Data Scientist,University of Maryland Medical System,Linthicum, MD,10000+,Other Organization,Health Care Services & Hospitals,Health Care,63,112,87.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$63K-$112K (Glassdoor est.),3.4
3,Data Scientist,Data Scientist,KnowBe4,Clearwater, FL,501 - 1000,Company - Private,Security Services,Business Services,80,90,85,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,$80K-$90K (Glassdoor est.),4.8
4,Data Scientist,Data Scientist,PNNL,Richland, WA,1001 - 5000,Government,Energy,"Oil, Gas, Energy & Utilities",56,97,76.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$56K-$97K (Glassdoor est.),3.8
5,Data Scientist,Data Scientist,Affinity Solutions,New York, NY,51 - 200,Company - Private,Advertising & Marketing,Business Services,86,143,114.5,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,$86K-$143K (Glassdoor est.),2.9
6,Data Scientist,Data Scientist,CyrusOne,Dallas, TX,201 - 500,Company - Public,Real Estate,Real Estate,71,119,95,1,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,$71K-$119K (Glassdoor est.),3.4
7,Data Scientist,Data Scientist,ClearOne Advantage,Baltimore, MD,501 - 1000,Company - Private,Banks & Credit Unions,Finance,54,93,73.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,$54K-$93K (Glassdoor est.),4.1
8,Data Scientist,Data Scientist,Logic20/20,San Jose, CA,201 - 500,Company - Private,Consulting,Business Services,86,142,114,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,$86K-$142K (Glassdoor est.),3.8
9,Research Scientist,Other Scientist,Rochester Regional Health,Rochester, NY,10000+,Hospital,Health Care Services & Hospitals,Health Care,38,84,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$38K-$84K (Glassdoor est.),3.3
10,Data Scientist,Data Scientist,<intent>,New York, NY,51 - 200,Company - Private,Internet,Information Technology,120,160,140,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$120K-$160K (Glassdoor est.),4.6
11,Data Scientist,Data Scientist,Wish,San Jose, CA,501 - 1000,Company - Private,Other Retail Stores,Retail,126,201,163.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$126K-$201K (Glassdoor est.),3.5
12,Data Scientist,Data Scientist,ManTech,Chantilly, VA,5001 - 10000,Company - Public,Research & Development,Business Services,64,106,85,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,$64K-$106K (Glassdoor est.),4.1
13,Staff Data Scientist - Technology,Data Scientist,Walmart,Plano, TX,10000+,Company - Public,"Department, Clothing, & Shoe Stores",Retail,106,172,139,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,$106K-$172K (Glassdoor est.),3.2
14,Data Analyst,Data Analyst,Yesler,Seattle, WA,201 - 500,Company - Private,Advertising & Marketing,Business Services,46,85,65.5,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,$46K-$85K (Glassdoor est.),4.1
15,Data Scientist,Data Scientist,Takeda Pharmaceuticals,Cambridge, MA,10000+,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,83,144,113.5,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,$83K-$144K (Glassdoor est.),3.7
16,Data Engineer I,Data Engineer,Audible,Newark, NJ,1001 - 5000,Subsidiary or Business Segment,Motion Picture Production & Distribution,Media,102,190,146,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,$102K-$190K (Glassdoor est.),3.6
17,"Scientist I/II, Biology",Other Scientist,Blueprint Medicines,Cambridge, MA,51 - 200,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,67,137,102,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,$67K-$137K (Glassdoor est.),3.9
